bin,predicted,observed,count
"(-0.001, 0.1]",0.036629008955436214,0.08426073131955485,629
"(0.1, 0.2]",0.1427780293580574,0.20184331797235022,1085
"(0.2, 0.3]",0.2222222238779068,0.4444444444444444,27
"(0.3, 0.4]",0.31483975511330825,0.23076923076923078,13
"(0.4, 0.5]",0.4773969224521092,0.2857142857142857,7
"(0.5, 0.6]",0.5771373709042867,0.6111111111111112,18
"(0.6, 0.7]",0.6126233339309692,0.0,1
"(0.7, 0.8]",0.7715064883232117,0.0,1
"(0.9, 1.0]",1.0,0.0,3
